Tune,Type,Level,Next Tempo,Status,Practise Link,Guitar,
Green Mountain,Reel,0,100,,,,
Ballydesmond No.3,Hornpipe/Slow Reel/Polka,0,100,Development,,,
Club Ceili,Jig/Slip Jig,0,80,Development,,,
Haunted House,Jig/Slip Jig,0,80,Development,,,
Little Diamond Polka,Hornpipe/Slow Reel/Polka,0,100,Development,,,
Murroe Polka,Hornpipe/Slow Reel/Polka,0,100,Development,,,
Maids of Ardath,Hornpipe/Slow Reel/Polka,0,100,Development,,,
Boyne Hunt,Reel,0,100,Development,,,
Shannon Breeze,Reel,0,100,Development,,,
Red Haired Lass,Reel,0,100,Development,,,
Tobin's Favourite,Jig/Slip Jig,0,80,Development,,,
Tulla Reel,Reel,0,100,Development,,,
Skylark,Reel,0,100,Development,,,
Roaring Mary,Reel,0,100,Development,,,
Brosna Slide,Jig/Slip Jig,0,80,Development,,,
O'Keefe's,Jig/Slip Jig,0,80,Development,,,
Dennis Murphy's,Jig/Slip Jig,0,80,Development,,,
U-Bar 1B,Jig/Slip Jig,5,130,Development,,,
U-Bar 1A,Jig/Slip Jig,5,130,Development, ,,
Humours of Glendart,Jig/Slip Jig,5,130,Development,,,
Concertina Reel,Reel,5,200,Development,,,
Over the Moor to Maggie,Reel,5,200,Development,,,
Farewell to Whalley Range,Jig/Slip Jig,6,140,Development,,,
Sporting Paddy,Reel,6,220,Development,,,
Donnybrook Fair Jig,Jig/Slip Jig,6,140,Development,,,
Jig of Slurs,Jig/Slip Jig,6,140,Bug,,,
Rolling in the Ryegrass,Reel,7,N/A,Development,,,
Tenpenny Bit,Jig/Slip Jig,7,N/A,Development,,,
Old Favourite,Jig/Slip Jig,7,N/A,Staging,,,
Kilmaley,Reel,7,N/A,Staging,,,
Geese in the Bog,Jig/Slip Jig,7,N/A,Staging,,,
The Teetotaller,Reel,7,N/A,Staging,,,
Humours of Ballyloughlin,Jig/Slip Jig,7,N/A,Staging,,,
The Sligo Maid,Reel,7,N/A,Staging,,,
Tabhair Dom do Lamh,Waltz,7,N/A,Staging,,,
Garrett Barry's Jig,Jig/Slip Jig,7,N/A,Staging,,,
The Man of the House,Reel,7,N/A,Staging,,,
Rose in the Heather,Jig/Slip Jig,7,N/A,Staging,,,
Ships are Sailing,Reel,7,N/A,Staging,,,
Dunmore Lasses,Reel,7,N/A,Staging,,,
I Buried My Wife & Danced On Her Grave,Jig/Slip Jig,7,N/A,Staging,,,
The Otter's Holt,Reel,7,N/A,Staging,,,
Tarbolton Reel,Reel,7,N/A,Staging,,,
The Rolling Waves,Jig/Slip Jig,7,N/A,Staging,,,
Ashokan Farewell,Waltz,7,N/A,Staging,,,
The Atholl Highlanders,Jig/Slip Jig,7,N/A,Staging,,,
Castle Kelly,Reel,7,N/A,Staging,,,
Saddle the Pony,Jig/Slip Jig,7,N/A,Staging,,,
Foxhunters Slip Jig,Jig/Slip Jig,7,N/A,Staging,,,
Foxhunters Reel,Reel,7,N/A,Staging,,,
Haste to the Wedding,Jig/Slip Jig,7,N/A,Staging,,,
Merrily Kiss the Quaker,Jig/Slip Jig,7,N/A,Staging,,,
The Humours of Tulla,Reel,7,N/A,Staging,,,
Jim Ward's,Jig/Slip Jig,7,N/A,Staging,,,
Mist Covered Mountain,Jig/Slip Jig,7,N/A,Staging,,,
Britches Full of Stitches,Hornpipe/Slow Reel/Polka,7,N/A,Staging,,,
The Irish Washerwoman,Jig/Slip Jig,7,N/A,Staging,,,
Jenny's Welcome To Charlie,Reel,7,N/A,Staging,,,
Mason's Apron,Reel,7,N/A,Staging,,,
The Maid of Mount Kisco,Reel,7,N/A,Staging,,,
The Earl's Chair,Reel,7,N/A,Staging,,,
Scatter the Mud,Jig/Slip Jig,7,N/A,Staging,,,
The Bucks of Oranmore,Reel,7,N/A,Staging,,,
The Piper's of Roguery,Jig/Slip Jig,7,N/A,Staging,,,
The Floating Crowbar,Reel,7,N/A,Staging,,,
Wall of Liscarroll,Jig/Slip Jig,7,N/A,Staging,Tune-A-Day #60 - The Walls of Liscarroll (Jig) - YouTube,,
Trim the Velvet,Reel,7,N/A,Staging,,,
Lord Ramsay's,Reel,7,N/A,Staging,,,
Frank's Reel,Reel,7,N/A,Staging,,,
King Of The Pipers,Jig/Slip Jig,7,N/A,Staging,,,
Clumsy Lover,Reel,7,N/A,Staging,,,
Jenny Picking Cockles,Reel,7,N/A,Staging,,,
The Trip To Sligo,Jig/Slip Jig,7,N/A,Staging,,,
Road To Lisdoonvarna,Jig/Slip Jig,7,N/A,Staging,,,
John Ryan's Polka,Hornpipe/Slow Reel/Polka,7,N/A,Production,,,
Whiskey Before Breakfast,Reel,7,N/A,Production,Whiskey Before Breakfast | The Good Tune - YouTube,,
My Darling Asleep,Jig/Slip Jig,7,N/A,Production,,,
The Wise Maid,Reel,7,N/A,Production,,,
Jenny's Chickens,Reel,7,N/A,Staging,,,
Toss The Feathers (Em),Reel,7,N/A,Production,,,
The Congress Reel,Reel,7,N/A,Production,,,
Toss The Feathers (D),Reel,7,N/A,Production,Fergal Scahill's fiddle tune a day 2017 - Day 192 - Toss the Feathers - YouTube,,
Jenny's Wedding,Reel,7,N/A,Production,Jenny's Wedding - YouTube,,
The Morning Dew,Reel,7,N/A,Production,https://www.youtube.com/watch?v=Xda9TFujYkk,,
Miss McLeod's,Reel,7,N/A,Production,,,
The Gravel Walks,Reel,7,N/A,Production,,,
The Merry Maids Of Mitchelstown,Reel,7,N/A,Production,,,
The Merry Blacksmith,Reel,7,N/A,Production,,,
The Star Of Munster,Reel,7,N/A,Production,https://www.youtube.com/watch?v=YL8irIQ9Fac,,
Cup Of Tea,Reel,7,N/A,Production,,,
Calliope Jig,Jig/Slip Jig,7,N/A,Production,,,
Rights of Man,Hornpipe/Slow Reel/Polka,7,N/A,Production,,,
The Grumbling Old Man And Woman,Reel,7,N/A,Production,https://www.youtube.com/watch?v=yZdPzcVQpls,,
Scotch Mary,Reel,7,N/A,Production,,,
The Mountain Road,Reel,7,N/A,Production,,,
Tripping Up The Stairs,Jig/Slip Jig,7,N/A,Production,,,
The Hag's Purse,Jig/Slip Jig,7,N/A,Production,,,
The Boys of Bluehill,Hornpipe/Slow Reel/Polka,7,N/A,Production,,,
St Anne's Reel,Reel,7,N/A,Production,,,
Samhradh,Hornpipe/Slow Reel/Polka,7,N/A,Production,,,
The Collier's Jig,Jig/Slip Jig,7,N/A,Production,,,
The Lark in the Morning,Jig/Slip Jig,7,N/A,Production,Lark in the Morning - YouTube,,
Inisheer,Waltz,7,N/A,Production,Inisheer (Irish) - fiddle and accordion/melodeon - YouTube,,
Off To California,Hornpipe/Slow Reel/Polka,7,N/A,Production,,,
Bunker Hill,Reel,7,N/A,Production,,,
From Night Till Morn,Reel,7,N/A,Production,,,
The Old Torn Petticoat,Reel,7,N/A,Production,The Old Torn Petticoat / The Dublin Reel / The Wind That Shakes The Barley - YouTube,,
The Monoghan,Jig/Slip Jig,7,N/A,Production,The Monaghan Jig (Traditional Irish Jig) - YouTube,,
Stool Of Repentance,Jig/Slip Jig,7,N/A,Production,,,
Tatter Jack Walsh's,Jig/Slip Jig,7,N/A,Production,,,
Hardiman The Fiddler,Jig/Slip Jig,7,N/A,Production,,,
Wind That Shakes The Barley,Reel,7,N/A,Production,,,
Bean An Ti At Lar,Reel,7,N/A,Production,,,
Musical Priest,Reel,7,N/A,Production,,,
Sally Gardens,Reel,7,N/A,Production,Sally Gardens - YouTube,,
Pigeon On The Gate,Reel,7,N/A,Production,,,
Farewell To Erin,Reel,7,N/A,Production,Farewell To Erin (Reel): Trad Irish Fiddle Lesson by Kevin Burke - YouTube,,
King Of The Fairies,Hornpipe/Slow Reel/Polka,7,N/A,Production,King of the Fairies (cover by Valar) - YouTube,,
McGoldrick's Jig,Reel,7,N/A,Production,,,
The Sportsman's Hornpipe,Hornpipe/Slow Reel/Polka,7,N/A,Production,Sportman's Hornpipe - YouTube,,
Sí Bheag Sí Mhór,Waltz,7,N/A,Production,,,
Cliffs Of Moher,Jig/Slip Jig,7,N/A,Production,,,
